party,name,url,face,chat,party_image,ynr_id
Liberal Democrats,Loraine Birchall,https://www.choosemypcc.org.uk/candidates/cumbria/loraine-birchall/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Loraine-Birchall.jpg,"On 5th May we will choose a new police commissioner to hold the police to
account and set the police's budget and priorities.

My priorities are -

  * More visible policing in our towns and villages
  * Fighting Conservative government plans to cut police funding
  * Taking domestic violence more seriously
  * Tackling crimes against small businesses and farms
  * Campaigning against court closures

Cumbria police is under threat. *Last year the Conservative government
proposed cutting £21million from its budget.* That's the cost of over 400
front line police officers.

They might have delayed the cuts, but the government still intend to change
the funding formula later this year.

I will fight tooth and nail for a fairer funding deal for Cumbria's police.

As a proven manager, consultant and daughter of a former police officer, I'm
also the right person to hold Cumbria police to account.

I want us to do more to *stop re-offending.

We need restorative justice to support and help victims of crime, and we need
to promote rehabilitation and youth services to help offenders turn their
lives around and reduce re-offending rates.

We need to restore trust in Cumbria police, *tackling anti-social behaviour
and taking strong action on domestic violence and sexual exploitation

And if I'm elected as your PCC, *I'll publish my expenses on the web so you
can see how your money is being spent.

When police budgets are being cut, your PCC needs to lead by example and spend
wisely.  I also want to see a full and transparent recruitment process for all
appointments to the PCC's office, basing all appointments on merit.

With your support on 5th May I'll make sure we have a police force that will
keep Cumbria safe.

This election address was prepared by Paul Trollope, Acland House, Yard 2,
Stricklandgate, Kendal LA9 4ND.

Web: www.lorainebirchall.co.uk, Facebook: www.facebook.com/lorainebirchall4pcc
Email: Loraine.birchall@gmail.com Mobile: 079877 979829

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Lib-Dem-logo-ballot-paper-only.jpg,5633
The Conservative Party Candidate,Peter McCall,https://www.choosemypcc.org.uk/candidates/cumbria/peter-mccall/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/PeterMcCall.jpg,"Cumbria remains one of the safest counties since Richard Rhodes became our
PCC. However, we cannot be complacent, Domestic Violence, Cybercrime, Child
Sexual Exploitation are increasing. Terrorism is a constant threat. In Cumbria
we must also prioritise rural crime to safeguard our families, homes, farms
and tourist industries.

I will make these and addressing all forms of anti-social behaviour my
priorities, including securing the future of consistent safe provision for
victims of crime and domestic abuse across Cumbria, I'll introduce a youth
commission to engage young people in preventing crime.

I have served our country on operations as diverse as peacekeeping in Bosnia,
Foot and Mouth here in Cumbria and most recently in Sierra Leone fighting
Ebola. I was Regimental Colonel of The Royal Logistic Corps, 16,000 personnel
supporting Operations in Afghanistan, have had vast commercial experience and
direct responsibility for multi million pound procurement, and operational
budgets.

The army culture is about leadership, teamwork and getting the job done, not
committees talking about it, squabbling or making excuses, I will work with
the police, communities and agencies as a team.

Balancing the books will always be challenging but I have worked at Ministry
level and understand how government works, I will fight to safeguard our
policing budget and front line police numbers, most importantly I will ensure
Cumbria has a voice to government ministers.

Integrity, gaining your trust and doing the right thing are important to me.
Unlike other candidates, I'm not a career politician, I left home in Wigton 34
years ago to become a soldier. I won't make 'politician's promises,' my
mission is to work for you, to do all in my power to keep you and your family
safe.

Prepared by Neville Lishman on behalf of Peter McCall both of 31 Chiswick
Street, Carlisle, CA1 1HJ.

Petermccall.org.uk

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/conserviative-Emblem1_BW-1.jpg,7817
UK Independence Party (UKIP),Michael Pye,https://www.choosemypcc.org.uk/candidates/cumbria/michael-pye/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Michael-Pye.jpg,"I have had very strong links with Cumbria for over 40 years. I was educated at
Cockermouth Grammar School, and studied Chemical Engineering at Birmingham
University. Then spent my career in the oil industry, UK and abroad, but
always with a base in Cockermouth from where I could enjoy mountaineering,
walking, coastal routes and the other benefits of living in Cumbria.

UKIP is a strong believer in Law and Order and that the Police have a very
important role in a civilised society to protect ordinary people and allowing
us to live our lives peacefully. At the same time there have been instances
across the UK where the Police and connected authorities have needed more
accountability and transparency to ensure that the Police etc. are working in
our overall best interests.

Part of managing safety is crime prevention, which is both steering potential
criminals away from crime, but also assisting existing criminals to change
their lives away from criminal activity. The Commissioner has an important
role to play in facilitating crime prevention initiatives.

The very large and unusual shape of Cumbria Police Area, and the locations of
Police and Crime related bodies, brings many challenges and the Commissioner
needs to be positioned so as to reach everywhere. My home is in Cockermouth,
which fits in well with the road system giving convenient road access across
the whole of the Cumbria Police Area.

A UKIP Commissioner will seek to represent everyone to ensure that we live
peaceful lives, as safe from crime as is possible.

Prepared by Michael Pye, acting as own Election Agent. Address 43 Daleview,
Cockermouth, Cumbria, CA13 9EW.

Contact details: Michael.pye@ukiplocal.org  Mobile 07748 788371

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/UKIPlogo-1.jpg,6860
Independent,Mary Robinson,https://www.choosemypcc.org.uk/candidates/cumbria/mary-robinson/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Mary-bus-pic-2.jpg,"A Cumbrian farmer's daughter*, born in Kendal, attended school in Maryport/Carlisle, and has lived in the Eden Valley for 50 years. With an MBA from University of Northumbria, she became Head of Business &amp; Marketing at Tullie House Museum, Carlisle, including governance and security for £44m. Her voluntary work includes youth leader, chair of governors, parish council.

*""I plan to bring a breath of fresh air to the role, be there for all Cumbria's residents and not listen to excuses, and ensure there's action on recently identified Cumbria police weaknesses.""

Roles: Member of EU Committee of Regions in Brussels; Eden District Councillor
(10 years Deputy Leader/Joint Leader/Executive Member); Cumbria County
Councillor; (Chairman) Carlisle and Eden Community Safety Partnership, Safer
Cumbria Chairs Group; Collision Reduction &amp; Safer Highways Group; Cumbria
Health Scrutiny Committee; Eden District Council Scrutiny Monitoring Board and
Accounts &amp; Governance Panel (Budgets).

As chairman of Carlisle and Eden Community Safety Partnership I routinely meet
with other chairmen from Barrow &amp; South Lakeland, Copeland &amp; Allerdale
creating vital cohesion across Cumbria, regularly convening with the Police
and Crime Commissioner and helping shape the 2016/17 Police and Crime Plan.

*""My depth of senior office right here in Cumbria sets me head and shoulders above other candidates when it comes to representing the public. This is a big job, in a huge county, demanding freedom from 'political steer' I'm an established Cumbrian leader ready to hit the ground running; not a box ticker with party political aspirations"".

We must work proactively with problematic young people; address domestic
abuse, hate crime and psycho-active substances being sold in our schools; and
organised gangs seeing our rural county as easy pickings. *Let's get to
work.

Prepared by Mary Robinson, acting as own agent of Bell House, Ainstable,
Carlisle, CA4 9RE

Contact details: maryrobinson4pcc.co.uk

",,7819
Labour Party,Reginald Watson commonly known as Reg Watson,https://www.choosemypcc.org.uk/candidates/cumbria/reginald-watson/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/reginald.jpg,"I am honoured to be chosen as the Labour Party's candidate for election as the
Cumbria Police Commissioner. Prior to the reform of Policing I was Chair of
the Cumbria Police Authority having held the position for 20 years. During
that time we achieved the highest number of police officers, civilian staff,
and recorded the most favourable crime figures ever by Cumbria Police. I was
honoured to receive an OBE for my services to Policing and the People of
Cumbria.

I am putting myself forward at this time of austerity and changes to Policing
and other Blue Light Services to try and reverse the impact of the last four
years on numbers of officers and neighbourhood Policing. I am concerned that
cuts and future proposed cuts by the current Government will impact greatly,
not only on Police moral but public confidence in the Service.

My priorities will be vandalism, disorder, anti-social behaviour but because
of the large geography of Cumbria priorities can differ, what suits Barrow
doesn't suit Carlisle. Priorities can and will differ widely from month to
month from farmland to town and village, and Police organisation needs to
recognise this. Organised crime within the Country especially relating to
child sexual exploitation and internet crime is increasing in the County as is
the reporting of domestic violence. These are areas I will continue to focus
on especially in regard to the training of ALL Police personnel.

I know that many of you miss the friendly face of the Bobby on the beat I will
work with the Chief Constable to ensure that neighbourhood Policing is
maintained and improved.

This form has been prepared by Celia Tibble of 10 Greengate, Seaton,
Workington, Cumbria, CA14 1PH

Contact: Ardyne Bank, Terraby, Carlisle, CA3 0JS

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Labour-Resized-Logo.jpg,7818
Labour Party,Barry Kirby,https://www.choosemypcc.org.uk/candidates/gloucestershire/barry-kirby/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Barry.jpg,"Barry is standing for Gloucestershire Police and Crime Commissioner because he
believes at a time when the Police are facing huge challenges local and
nationally, the Chief Constable would be best supported and held to account by
an experienced candidate with Labour values rooted in the community.

Barry is a Gloucestershire County Councillor and Deputy Leader of the Labour
Group. He has been involved in a wide range of community activities, including
starting the Kingsway Residents Association, local rugby coaching and
community radio, as well as being a parish councillor. He has campaigned on a
number of issues including leading the campaign against the closing of county
magistrates' courts.

Barry's focus is on:

  * Policing in Partnership - Working with local community organisations
  * Tackling Domestic Violence - Focusing on both physical and psychological abuse
  * Rural Policing - Ensuring that Rural Communities are properly supported
  * Policing Cyberspace - Ensuring we can use the Internet confidently and safely
  * Community Policing - Bringing residents and police closer together

Barry is the Deputy Chair of the Gloucestershire Police and Crime Panel and
has been a Magistrate in Gloucestershire. This experience has given Barry an
understanding of local issues and a wide view of the justice system. Barry
says: ""I want to see the whole justice system work effectively for victims,
witnesses, the police, defendants and the many volunteers involved in the
delivery of justice.""

In his day job, Barry runs a small human science research and technology
company in Gloucester. This provides him with the practical experience of
budgeting, planning and motivating people.

This has been prepared by Jonathan Hoad, agent to Barry Kirby, at Ground
Floor, Messenger House, 35 St Michaels Square, Gloucester, GL1 1HX

Contact details;

Twitter:  @BK4PCC

Facebook: Facebook.com/BK4PCC

Website: www.barrykirby.co.uk

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Labour-Resized-Logo.jpg,7806
Independent,Martin Surl,https://www.choosemypcc.org.uk/candidates/gloucestershire/martin-surl/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Martin-Surl.jpg,"My name is Martin Surl. I am standing as an Independent because I believe party politics has no place in policing. I am also standing to continue the work I began in November 2012.

Much progress has been made since then and with your support I hope to build
on it. My aims, therefore, may be familiar.

If I am re-elected, I will prioritise making our police more visible and come
when we need them. I want older people to feel safe and I want a system that
works for young people not against them. Everyone, whatever their age or
background, should feel safe day or night and be able to use our streets and
public places without feeling threatened.

I will introduce new measures aimed at making our roads safer and continue
working with our young people to make them more responsible, better drivers.
The investment in tackling cybercrime, which has put the Constabulary at the
forefront of counteracting criminality on the internet, will also continue.

On my watch, Gloucestershire has become a UK leader in ""Restorative Justice"",
the service where criminals and their victims are brought together. This has
proven benefits for victims and reduces re-offending and I will continue to
support it.

I am the only candidate with experience of being Police and Crime Commissioner
and as an experienced former officer, I am also the only candidate in
Gloucestershire with direct policing experience.

My record shows I kept all the promises I made to you before the last election
and the Constabulary has benefited as a result. Check
www.policecommissioner.net* or *www.gloucestershire-pcc.gov.uk

I'm Trustworthy, I'm Independent, I'm Experienced, I'm Local.

As I have no agent, I have prepared this statement myself; Martin Surl, Higher
Ground, Birdlip, Gloucestershire.

Contact details;

Website: www.policecommissioner.net

Email: **martinsurl@policecommissioner.net

Facebook:  Martin-Surl-Gloucestershire-Police-Commissioner

Twitter: @GlosPCC

",,7804
The Conservative Party Candidate,Will Windsor-Clive,https://www.choosemypcc.org.uk/candidates/gloucestershire/will-windsor-clive/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Will-Windsor-Clive.jpeg,"Gloucestershire has always been my home - it is where I was born, where I grew
up and where I raised a family.

I currently work in partnership with five local businesses, directly employing
over 50 people, and have a proven record in delivering an efficient and
effective emergency service. I understand the importance of organisation,
efficiency and leadership, which are vital to delivering an effective police
force as your Police and Crime Commissioner.

A PCC must listen and respond to the needs of the local community. In 1999 I
was elected as a Councillor for the Forest of Dean and three years later
became a member of Gloucestershire County Council.

As a Councillor I have undertaken various responsibilities that make me well
suited to a role that requires working with the police as well as overseeing
the budget to ensure taxpayer's money is spent wisely. For the past eight
years I have been the Cabinet Member responsible for running Gloucestershire's
Fire and Rescue Service. With a staff of 400 firefighters and 22 fire
stations, by working together we have reduced our budget by more than 20%,
without undermining frontline services.

I have also led Gloucestershire's Trading Standards and the Coroners service,
carrying out key law enforcement responsibilities, and joined the Chief
Constable on the Road Safety Partnership.

We need someone with experience to deliver smart, strategic savings in the
police as the County Council has done in other areas.

My police plan will focus on 5 key areas:

Keeping the county safe from terrorism.

Preventing crime and anti-social behaviour.

Greater protection for victims of domestic violence.

Better policing for all of Gloucestershire.

Collaboration to save money and improve efficiency.

Promoted by Jon Burns on behalf of Will Windsor-Clive, both of Gloucestershire
Conservatives, 1143 Regent Court, Gloucester Business Park, GL3 4AD

Contact details

01452 371630

pcc@gloucestershireconservatives.com

www.willwindsorclive.org.uk

facebook.com/WillWindsorClive/

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Emblem1_Col-12.jpg,7805
UKIP,Gavin Felton,https://www.choosemypcc.org.uk/candidates/south-yorkshire/gavin-patrick-felton/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Photo.jpeg,"I served twenty-four years in the British Army I served on the following
operations, Desert Storm, (Freedom of Kuwait) Rwanda, Kosovo, Bosnia and Iraq
numerous times. I am married with a young son and daughter; my good lady works
with vulnerable children.

On my return to our beloved county, I was horrified to see the amount of crime
on our streets, I am not a man that can just sit there and watch it get even
worse.

I want to combine my passion and experience to make South Yorkshire the Safest
Place in England.

I will represent you and your family fearlessly with an independence of
outlook and judgment, never giving way to vested interests, If I earn your
vote, I will:

  * Put victims of crime first, introduce a Victim support group with a ring-fenced budget of £500,000. Create Victim Support Offices at shop level within all major towns and cities.
  * Introduce monthly meetings with all South Yorkshire Political Parties as to involve everyone's point of view, as we have been A Single Party State far too long.
  * Put more Police on our streets by cutting red tape and form filling and better retention and recruitment of Specials.
  * Reclaim town centres, villages and estates through zero tolerance for street drinking, drug use and anti-social behaviour, fly tipping.
  * Recognise and better protect the special needs of rural communities.
  * Give budgets to communities, involving them more in their own protection.

Every individual, young and old, deserves respect, safety and justice; I will
speak up for everyone. As an elected Police and Crime Commissioner, the buck
will stop with me. I will be accountable to you the great people of South
Yorkshire.

Prepared by Andrew Clarkson Election Agent, 22 Albany Road, Stocksbridge S36
1AL

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/ukip-1.jpg,7701
Liberal Democrat,Joe Otten,https://www.choosemypcc.org.uk/candidates/south-yorkshire/joe-otten/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Joe-Otten-IMG_4106.jpeg,"Hillsborough, Orgreave and the Rotherham child exploitation scandal have
tarnished the reputation of South Yorkshire Police.

The trust local residents have in the police service has been lost.

With your 1st preference vote on May 5th I want to work with local people and the Police to rebuild our force into one we are proud of, one that is transparent and one that is accessible to residents.

As your Police and Crime Commissioner my top priorities will be:

  * *Rebuilding the trust between residents and the Police Force, making South **Yorkshire Police a force we are proud to call ours;
  * *Standing up for victims of crime and ensuring our Police support those victims;
  * *Protecting frontline policing and integrating with other services to tackle problems like drug and mental health issues, freeing up police time for fighting crime.

I have lived in the South Yorkshire Police area for 27 years, I have run a
business, I am city councillor in Sheffield and a member of the panel that
holds the police commissioner to account.  I'll use my experience of running a
business, running campaigns, bringing communities together, and knowing at
first-hand what a commissioner should be doing, to ensure that South Yorkshire
Police does all it can to tackle the causes of crime across the area.

Above all my fight is not against the other candidates or parties - my fight
is to restore trust in our police force and make our area safer for all of us.

Prepared by A Sangar Election Agent, Unit 2, Beehive works, Milton Street,
Sheffield, S3 7WL.

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Bird-in-Flight-large.jpg,4897
Conservatives,Ian Walker,https://www.choosemypcc.org.uk/candidates/south-yorkshire/ian-walker/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Election-Photo-Headshot-Ian-Walker.jpg,"Born and bred in Sheffield, I am an engineer leading local manufacturing
companies. Married with four children, I am familiar with local schools and
hospitals! I have always given back to the community, so my Plan for South
Yorkshire police is to:

  * Rebuild Trust - There is much work to do to rebuild communities' trust so that we can benefit again from policing by consent across the whole county. There have been so many allegations of collusion between local councils and the police that a fresh approach, led by someone untainted by the past, is imperative.
  * Put Victims First - Victims, and those in fear of crime, need to know that I will put their needs and rights ahead of criminals. This involves working with, and expanding, the excellent front line police that we have, to focus on communities' real needs.
  * Ensure Real Cultural Change - The police need to know that they have a Police and Crime Commissioner who will support their every effort to refocus the organisation's culture away from red tape and back covering and towards serving our neighbourhoods better.
  * Ensure More Resources reach the front line - In addition to cutting red tape, I want to drive cost reductions in back office and administrative areas, explore ways that costs could be shared with neighbouring areas or other emergency services. If elected, I will lobby the Home Secretary for additional resources for South Yorkshire.
  * Bring a Fresh Approach to the Police - I will do this by not shirking from asking the difficult questions about issues that for too long have been swept under the carpet so that today's police force can start to look forward and embed the lessons and cultural change required.

Prepared by Jasbir Singh Election Agent, 9A High Street, Penistone, Sheffield
S36 6BR

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Emblem1_Col-2.jpg,5593
Liberal Democrats,Richard James Adair,https://www.choosemypcc.org.uk/candidates/hampshire/richard-james-adair/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/R-Adair.jpg,"Richard Adair has been a front line policeman in Hampshire for 37 years. He's
patrolled the streets for many years across Hampshire and knows the problems
that frontline Police Officers face every day.
""I believe that the best way to know about policing needs in Hampshire and the
Isle of Wight is to have served in the Police locally,"" says former PC Richard
Adair.

As Hampshire and Isle of Wight Police Commissioner Richard Adair will have
three clear priorities,
1\. Protecting frontline policing from cuts. If the Government force cuts on
the Police, senior   management not frontline Police Constables should be
reduced.
2\. The public should be able to meet Police Officers when they need them, so
Police Stations need to be maintained.
3\. Mental Health services need real resource from Government so that Police
Officers do not become mental health social workers doing a job they are not
trained for.

Hampshire and the Isle of Wight are a large police area but the common sense
answers to local policing problems are more likely to come from someone who
has been a policeman in the Hampshire Constabulary for over 30 years.

For a Policeman to be in charge of Hampshire Police Force please support the
real expert; former Hampshire Police Officer for 30 years Richard Adair,
Liberal Democrat.

Published and promoted by G.Vernon-Jackson, Liberal Democrats, 220 Fratton Road, Portsmouth, PO1 5HH

Contact details:

www.richardadair4hampshirepcc.co.uk

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Registered-Emblem_LibDem.jpg,10294
Independent,Simon Hayes,https://www.choosemypcc.org.uk/candidates/hampshire/simon-hayes/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/S-Hayes.jpg,"""Protecting People and Places since 2012""

• *Preventing crime* in the first place.
• *Improving frontline Policing.
*• Reducing re-offending.
*• Educating &amp; supporting young people.
*• Supporting Victims and witnesses.
*• Preventing crime against business.
*• Protecting against cyber crime.

I'm again standing as an* Independent, non-Party Political candidate*,
because I believe *YOUR Police Commissioner* must be *free from the
influences of Political masters in Westminster*.
Over the past 3 ½ years, in the face of huge cuts, I've *successfully
delivered* an efficient and effective police service.

By taking a *businesslike approach to all we do*, operational policing is
starting to see benefits. My Estates Strategy has *modernised the
Constabulary*, is saving money while delivering a more efficient and modern
working environment for frontline officers. Investment in technology - Body
Worn Video, mobile communications and working with partners has brought *the
Constabulary to the forefront of modern policing*.

Her Majesty's Inspector of Constabulary* classed our financial planning for the future as *""outstanding""*, recognised my *commitment to neighbourhood policing*, ensuring *police officers and PCSO's remain on our streets*, engaging with communities - delivering traditional policing in the modern environment. HMIC also noted we are *good at preventing crime, anti-social behaviour and working effectively to reduce reoffending*.

For me, *the role of Police and Crime Commissioner is not just about
governance of the Constabulary*. It is, and importantly, *about co-
ordinating community responsibility to bring about ""social change""*, working
with others to prevent crime, reduce re-offending, support victims and protect
the vulnerable.

If re-elected,* I will build on my successes since 2012* and tackle the new
challenges faced by policing in modern times, with a *focus on young people,
the vulnerable, businesses and early prevention*.

Prepared by R Jarman, The Drift, Upper Farringdon, GU34 3EA

Contact details:

simon@hayes4pcc.org

www.hayes4pcc.org

@hayes4pcc

",,10295
Independent,Don Jerrard,https://www.choosemypcc.org.uk/candidates/hampshire/don-jerrard/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/D-Jerrard.jpg,"I was born in Hampshire, and lived here almost all my life. I was an
international business lawyer, and specialised in IT Law, founding my firm's
practice in that area in 1983. I have lived in Southampton, Winchester, Fleet
and the Borough of Fareham. I now live in East Hampshire, where I have been a
local Councillor since 2003, and was an Independent Candidate in the Hampshire
PCC election in 2012.

The OPCC is an unnecessary and politicised tier of government and a waste of
public money. Its huge cost would be better spent on local police stations to
ensure local community policing and intelligence to combat terrorism.

The police should be empowered to do their job, with minimum interference. The
OPCC should scrutinise the police, not tell them what to do. It should ensure
that serious complaints about the police are properly and independently
investigated.

The Commissioner should be independent of all major political parties, and
dedicated to ensuring that the law is applied equally to all. No one person
should have these powers. As Commissioner I would act as Chairman of a panel
of unpaid volunteers, as with the old police authority, and without a PR
department.

Priorities, especially terrorism, robbery, drug-related crime, and sexual
exploitation are obvious to the police. So is the rise in cyber-crime, where I
am well-connected and qualified to help. More work is needed to recover the
proceeds of crime, and to ensure that all crimes are recorded and
investigated.

My Promises
• To consult regularly throughout Hampshire to help police officers deliver
what the public wants and needs.
• Not to take a salary and use the funds saved to assist voluntary
organisations for the prevention of crime and protection of victims.

Prepared by Susan Jerrard, The Coach House, Greatham, GU33 6AB

Contact details:

www.donjerrard4hampshire-pcc.uk

don@jerrard.me.uk

",,5893
The Conservative Party Candidate,Michael George Lane,https://www.choosemypcc.org.uk/candidates/hampshire/michael-george-lane/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/MichaelLane.jpg,"People in Hampshire &amp; IoW should have confidence that their Police &amp;
Crime Commissioner is listening to their concerns and making sure they are
reflected in police priorities. I will champion your priorities.

They should also expect someone with the skills and experience to create a
Police &amp; Crime Plan that enhances effective delivery at the front line of
policing and maximises the impact for a safer Hampshire from a £300M budget. I
know it is not just how much, but also how effectively resources are used. I
will fight for the necessary resources and their most effective use in keeping
us safe.

My focus will always be to keep you and your family safe. And I will seek to
empower the Chief Constable and our police to do what they do best - prevent
crime and catch criminals.

My priorities will include:
• Protecting and improving neighbourhood and front line policing
• Tackling domestic abuse, protecting the vulnerable
• Putting victims at the heart of the criminal justice system
• Addressing rural crime
• Seeking innovation that increases effectiveness &amp; reduces bureaucracy
• Creating strong partnerships.

I have the skills for the job. A Commodore with 30 years' experience in the
Royal Navy - including running £100m+ projects; managing complex change
programmes in tight financial times; and motivating teams of experienced
personnel dedicated to the nation's protection.

And from my time as a Borough Councillor, I know how to champion individuals
and local communities; set strategic priorities; protect and sustain our
values and society; and, most importantly, listen to residents.

I have the experience and the plan. Now I am asking for your support on 5th
May to make Hampshire &amp; IoW safer.

Prepared by Alan Scard on behalf of Michael Lane of GCA, 167 Stoke Road, Gosport, PO12 1SE

Contact details:

www.michael4hampshire-pcc.uk

Michael Lane 4 PCC - Facebook

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Emblem1_Col.jpg,10297
Labour Party,Robin Andrew Price,https://www.choosemypcc.org.uk/candidates/hampshire/robin-andrew-price/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/RobinPrice.jpg,"It is important to choose a Labour candidate who will make clear to an
increasingly remote Government the effect of cuts to the police service,
involving the loss of 780 officers in Hampshire and the Isle of Wight. Crime
fell by 43% under the last Labour Government but that record is now under
threat. I am talking to our communities about the problems they face and will
ensure resources are prioritised to deal with them.

The Government is planning to take the fire and rescue service away from local
government and merge it with the police service. This is an attempt to reduce
spending on services. The people who work in the two services do not want
this. We already have cooperation and sharing of premises between the two
services in Hampshire and I oppose this bureaucratic plan.

I have worked as a solicitor most of my life in Hampshire and the Isle of
Wight. I have given free legal advice and worked for Portsmouth City Council.
I ran my own firm of solicitors in Ryde which included criminal and family
work, and have extensive experience of the courts system.

The Government's claim that crime is falling is not true of many types of
crime. Some of my priorities would be:
• Put resources into front line policing for community safety and reducing
anti-social behaviour.
• Ensure officers have the expertise to deal with escalating cybercrime.
• Recognise the high cost of rural crime in Hampshire.
• Helping people with mental health problems takes up much police time. I will
campaign for improved mental health services.
• I oppose increased court charges and the reduction in legal aid and will
investigate their impact.

Prepared by Patrick Davies, 69 Belgarum Place, Winchester, SO23 8SL

Contact details:

www.robinpriceforpcc.co.uk

01962 869915

www.hantsiowlabour.org.uk

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Labour-Resized-Logo.jpg,10298
UKIP,Roy Swales,https://www.choosemypcc.org.uk/candidates/hampshire/roy-swales/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/RoySwales.jpg,"Roy is the only credible candidate for PCC, a fourth generation soldier and a
resident of Hampshire for 46 years; he was a beat cop for 8 years. His last
job was managing the leadership Department for Hampshire Police, training
police leaders.

He has extensive experience as a senior leader and executive with the NHS,
Sodexho Alliance and he has managed two high profile Law firms. Roy came
second in the GE2016 in the New Forest.

Roy's message is simply this: ""In a few years Hampshire has lost, 1000 cops
and 1700 staff, you cannot run a 21st Century police service in this way. This
blinkered approach has seen huge increases in crime and increased danger to
the public. It's time to take back our communities and provide the people of
Hampshire/IOW with a Police Service they want, not what Government think they
need"". Roy will lead a new empowering partnership between the people and the
police, to deliver a new standard in effective policing. Roy will not allow
police to be replaced by civilians with few powers. He wants more police
officers to work the streets, get close to communities again and start making
people feel safe. Intelligence is key in the fight against crime and violence,
the only way to gather that is to get cops closer to the public. The French
and Belgian police are now changing back to this model. Roy promises 100's
more cops, increased road safety, more firearms officers, less wastage and
more transparency, and a more effective and efficient PCC office, which is
value for money. A vote for Roy is a vote for strong empowering leadership and
much needed change.

Promoted and published by Alan Stone on behalf or Roy Swales, 44 Sylvia Crescent, Totton, SO403LN

Contact details:

roy.swales@ukiplocal.org

royswales.org.uk

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/UKIP-Emblem.jpg,5833
